Organization,PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Primary Source,Activity Status,Deactivation Date,Population Served Count,Rule Name,Violation Code,Violation Type,Violation Category Code,Is Health Based,Contaminant Name,Compliance Period Begin Date,Compliance Period Begin Month,Quarter,Compliance Period Begin Day,Compliance Period Begin Year,Compliance Period End Date,Compliance Status,RTC Date,Enforcement Action Type Code,Enforcement Action Description,Is Major Violation,Severity Indicator Count,Public Notification Tier,Violation First Reported Date
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,o-Dichlorobenzene,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Ethylbenzene,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Styrene,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Tetrachloroethylene,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Toluene,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,p-Dichlorobenzene,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"Xylenes, Total",1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,DICHLOROMETHANE,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1,2-Trichloroethane",1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2,4-Trichlorobenzene",1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Benzene,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Carbon tetrachloride,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1-Dichloroethylene",1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-Dichloroethane",1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Trichloroethylene,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1,1-Trichloroethane",1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Vinyl chloride,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,CHLOROBENZENE,1-Jul-18,7,3,1,2018,30-Sep-18,Returned to Compliance,24-Dec-18,SOX,State Compliance achieved,N,-,3,28-Mar-19
FRCOG,MA1074000,DEERFIELD FIRE DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,300",Nitrates,3,"Monitoring, Regular",MR,N,Nitrate,1-Apr-18,4,2,1,2018,30-Jun-18,Returned to Compliance,1-Mar-19,SOX,State Compliance achieved,Y,-,3,25-Jun-19
FRCOG,MA1114000,GREENFIELD WATER DEPARTMENT,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,"17,645",Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,1-Feb-18,2,1,1,2018,-,Returned to Compliance,12-Mar-18,SFL,State Administrative/Compliance Order without penalty issued,-,-,3,18-Jun-18
FRCOG,MA1114000,GREENFIELD WATER DEPARTMENT,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,"17,645",Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,1-Jan-18,1,1,1,2018,-,Returned to Compliance,12-Mar-18,SFL,State Administrative/Compliance Order without penalty issued,-,-,3,18-Jun-18
FRCOG,MA1114000,GREENFIELD WATER DEPARTMENT,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,"17,645",Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),1-Jan-18,1,1,1,2018,31-Mar-18,Known,-,SFL,State Administrative/Compliance Order without penalty issued,N,1,3,18-Sep-19
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"trans-1,2-Dichloroethylene",1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2,4-Trichlorobenzene",1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Benzene,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Carbon tetrachloride,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1-Dichloroethylene",1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-Dichloroethane",1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Trichloroethylene,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1,1-Trichloroethane",1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Vinyl chloride,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,CHLOROBENZENE,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,o-Dichlorobenzene,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Nitrates,3,"Monitoring, Regular",MR,N,Nitrate,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"cis-1,2-Dichloroethylene",1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-Dichloropropane",1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Ethylbenzene,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Styrene,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Tetrachloroethylene,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Toluene,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,p-Dichlorobenzene,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"Xylenes, Total",1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,DICHLOROMETHANE,1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1,2-Trichloroethane",1-Jul-17,7,3,1,2017,30-Sep-17,Returned to Compliance,22-Feb-18,SOX,State Compliance achieved,Y,-,3,18-Jun-18
FRCOG,MA1217001,EAST NORTHFIELD WATER CO,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,726,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,TTHM,1-Apr-17,4,2,1,2017,30-Jun-17,Returned to Compliance,26-Sep-17,SFL,State Administrative/Compliance Order without penalty issued,N,2,3,18-Sep-19
FRCOG,MA1217001,EAST NORTHFIELD WATER CO,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,726,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),1-Apr-17,4,2,1,2017,30-Apr-17,Returned to Compliance,26-Sep-17,SFL,State Administrative/Compliance Order without penalty issued,N,2,3,18-Sep-19
FRCOG,MA1114000,GREENFIELD WATER DEPARTMENT,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,"17,645",Long Term 2 Enhanced Surface Water Treatment Rule,41,Treatment Technique (SWTR and GWR),TT,Y,Long Term 2 Enhanced Surface Water Treatment Rule,1-Aug-16,8,3,1,2016,31-Aug-16,Known,-,SFL,State Administrative/Compliance Order without penalty issued,-,-,2,15-Dec-16
FRCOG,MA1217000,NORTHFIELD WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,800,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,1-Jul-16,7,3,1,2016,-,Returned to Compliance,24-Oct-16,SOX,State Compliance achieved,-,-,3,15-Dec-16
FRCOG,MA1106000,RIVERSIDE WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Surface water purchased,Active,-,341,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,1-Jul-16,7,3,1,2016,-,Returned to Compliance,24-Oct-16,SOX,State Compliance achieved,-,-,3,15-Dec-16
FRCOG,MA1074001,SOUTH DEERFIELD WATER SUPPLY DISTRICT,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,"3,800",Stage 1 Disinfectants and Disinfection Byproducts Rule,12,Treatment Technique No Certif. Operator,TT,Y,Stage 1 Disinfectants and Disinfection Byproducts Rule,17-Jun-16,6,2,17,2016,-,Open,-,SFL,State Administrative/Compliance Order without penalty issued,-,-,2,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Lead and Copper Rule,52,Follow-up Or Routine LCR Tap M/R,MR,N,Lead and Copper Rule,1-Jun-16,6,2,1,2016,-,Returned to Compliance,18-Jan-17,SFL,State Administrative/Compliance Order without penalty issued,-,-,3,18-Jun-18
FRCOG,MA1029000,BERNARDSTON FIRE  WATER DIST,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"1,475",Lead and Copper Rule,65,Public Education,TT,Y,Lead and Copper Rule,1-Jun-16,6,2,1,2016,-,Returned to Compliance,27-Dec-16,SFL,State Administrative/Compliance Order without penalty issued,-,-,2,18-Jun-18
FRCOG,MA1066001,GRISWOLDVILLE WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,125,Ground Water Rule,34,"Monitoring, Source Water (GWR)",MR,N,E. COLI,1-Apr-16,4,2,1,2016,-,Open,-,-,-,Y,-,3,15-Jun-16
FRCOG,MA1217001,EAST NORTHFIELD WATER CO,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,726,Total Coliform Rule,23,"Monitoring, Routine Major (TCR)",MR,N,Coliform (TCR),1-Dec-15,12,4,1,2015,31-Dec-15,Returned to Compliance,30-Mar-16,SOX,State Compliance achieved,-,-,3,16-Mar-16
FRCOG,MA1217001,EAST NORTHFIELD WATER CO,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,726,Total Coliform Rule,25,"Monitoring, Repeat Major (TCR)",MR,N,Coliform (TCR),1-Nov-15,11,4,1,2015,30-Nov-15,Returned to Compliance,30-Mar-16,SOX,State Compliance achieved,-,-,3,16-Mar-16
FRCOG,MA1223000,ORANGE WATER DEPT,Region 1,Massachusetts,Community water system,State,Surface water purchased,Active,-,"6,487",Total Coliform Rule,22,"Maximum Contaminant Level Violation, Monthly (TCR)",MCL,Y,Coliform (TCR),1-Oct-15,10,4,1,2015,31-Oct-15,Known,-,SFL,State Administrative/Compliance Order without penalty issued,-,-,2,15-Dec-15
FRCOG,MA1074001,SOUTH DEERFIELD WATER SUPPLY DISTRICT,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,"3,800",Stage 1 Disinfectants and Disinfection Byproducts Rule,12,Treatment Technique No Certif. Operator,TT,Y,Stage 1 Disinfectants and Disinfection Byproducts Rule,18-Aug-15,8,3,18,2015,-,Open,-,SFL,State Administrative/Compliance Order without penalty issued,-,-,2,16-Sep-16
FRCOG,MA1223000,ORANGE WATER DEPT,Region 1,Massachusetts,Community water system,State,Surface water purchased,Active,-,"6,487",Total Coliform Rule,22,"Maximum Contaminant Level Violation, Monthly (TCR)",MCL,Y,Coliform (TCR),1-Oct-14,10,4,1,2014,31-Oct-14,Known,-,SFL,State Administrative/Compliance Order without penalty issued,-,-,2,16-Mar-15
FRCOG,MA1289000,SUNDERLAND WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,"2,990",Total Coliform Rule,22,"Maximum Contaminant Level Violation, Monthly (TCR)",MCL,Y,Coliform (TCR),1-Sep-14,9,3,1,2014,30-Sep-14,Known,-,SFL,State Administrative/Compliance Order without penalty issued,-,-,2,15-Dec-14
FRCOG,MA1217001,EAST NORTHFIELD WATER CO,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,726,Consumer Confidence Rule,71,Consumer Confidence Report Complete Failure to Report,Other,N,Consumer Confidence Rule,1-Jul-14,7,3,1,2014,-,Returned to Compliance,8-Sep-14,SOX,State Compliance achieved,-,-,3,15-Dec-14
FRCOG,MA1217001,EAST NORTHFIELD WATER CO,Region 1,Massachusetts,Community water system,State,Surface water,Active,-,726,Surface Water Treatment Rule,41,Treatment Technique (SWTR and GWR),TT,Y,Surface Water Treatment Rule,29-May-14,5,2,29,2014,1-Oct-14,Known,-,SFL,State Administrative/Compliance Order without penalty issued,-,-,2,16-Mar-15
FRCOG,MA1066001,GRISWOLDVILLE WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,125,Nitrates,3,"Monitoring, Regular",MR,N,Nitrite,1-Apr-14,4,2,1,2014,30-Jun-14,Returned to Compliance,27-Aug-14,SOX,State Compliance achieved,Y,-,3,15-Sep-14
FRCOG,MA1066001,GRISWOLDVILLE WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,125,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,Cadmium,1-Apr-14,4,2,1,2014,30-Jun-14,Returned to Compliance,27-Aug-14,SOX,State Compliance achieved,Y,-,3,15-Sep-14
FRCOG,MA1066001,GRISWOLDVILLE WATER DISTRICT,Region 1,Massachusetts,Community water system,State,Ground water,Active,-,125,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,Chromium,1-Apr-14,4,2,1,2014,30-Jun-14,Returned to Compliance,27-Aug-14,SOX,State Compliance achieved,Y,-,3,15-Sep-14
